"temp","weekend","scoops"
77.5,0,325
40.8,0,205
45.9,0,269
55.9,1,312
39,0,200
29.6,0,203
56.7,0,265
54.6,0,289
63.7,0,282
49.8,0,253
58.3,1,311
52.8,0,237
59.3,1,307
58.3,1,322
51.4,0,288
45.9,0,216
40.7,0,230
40,1,260
44.8,0,226
59.8,0,272
29.1,0,212
47.8,1,298
53,0,255
40.8,0,216
31.7,1,256
44.5,0,212
52.8,0,281
36.4,0,187
49.7,0,249
53.1,1,301
41.1,0,208
36,0,199
61.5,1,334
64,1,363
60,0,282
59.8,0,289
52.4,0,258
51.6,1,312
47,1,295
51.5,0,262
55.2,0,254
36.8,1,259
64.3,0,279
52.5,0,278
63.2,0,294
42.8,0,211
51.4,1,290
63.1,0,315
42,0,244
56.6,1,307
52,0,246
36.1,1,268
50.8,0,262
41.2,0,212
48.9,0,245
27.6,0,168
43.5,0,224
46.4,0,237
35.4,1,270
56.6,0,282
42.8,0,235
44.3,1,299
54.1,0,279
35.6,0,210
45.7,0,219
58.3,0,253
43.3,0,214
59.5,0,285
43.9,0,256
41.4,0,219
43.3,1,258
50.4,0,245
50.3,1,294
34.8,1,266
46.5,1,302
29.3,1,242
49.3,0,246
18.8,0,159
36.1,0,217
64.2,0,320
65.3,0,256
29.9,1,237
45.1,0,241
45.2,0,245
34.1,0,205
48.9,1,309
52.9,0,224
46.6,0,262
46.5,0,251
49.1,0,229
64,1,330
66.8,0,301
60.3,0,289
67.4,0,305
41.9,0,240
43.2,0,212
44.9,1,287
51.6,0,259
57.3,0,291
46.8,0,227
64.8,1,327
50.1,0,255
56.6,1,330
56.6,0,268
46.8,0,234
48,0,249
56,1,338
49,0,242
67.7,1,328
36.6,0,196
57,0,280
62,0,279
52.6,0,262
55,1,286
54.6,0,258
54.6,0,256
57.9,0,272
38.1,0,202
49,0,227
57.9,1,352
50.9,0,247
76.2,1,353
55.9,0,255
55.2,1,353
36.4,0,238
43.1,0,226
35.4,0,203
39.2,0,257
41.6,0,205
50.3,0,263
56,0,255
56,0,265
52.9,1,288
50.8,1,314
65.9,0,305
48.8,0,279
46.5,1,291
51.3,0,260
78.2,1,398
50.1,0,236
50.4,1,305
32.7,1,263
39.6,1,279
59.3,1,315
49.8,1,321
39.7,0,233
50.4,0,233
60.2,0,275
34.2,0,199
56.8,1,322
47.8,1,280
49.7,1,288
33.1,1,252
61.9,1,292
45.5,1,276
60.4,0,280
48.3,0,219
35,0,213
50,0,241
65.4,0,298
55.9,0,245
51.2,0,231
43.8,0,236
58.7,1,304
58.2,1,297
70.3,0,277
63.6,1,342
47.6,0,242
63.4,0,253
66.9,0,276
55.4,0,245
33,0,211
62.9,0,287
54.8,0,245
50.1,0,235
48.9,0,268
54.6,0,249
58,1,321
57.5,0,266
42.9,0,226
53.6,0,234
42.5,0,214
59,0,242
45.3,1,262
71.1,0,310
43.8,0,221
51.1,0,229
53.1,0,248
62.5,0,278
36.7,0,203
75.1,0,312
44.9,0,196
42.4,0,222
56.5,0,259
41.7,0,224
41.6,1,302
44.9,0,231
57.9,0,275
39.2,0,200
61.7,1,339
49.2,0,254
67.5,0,290
43.7,0,219
49.6,0,249
49.9,0,266
44.5,0,219
49.8,1,290
37.7,1,231
67.8,1,342
51.1,0,253
43.5,0,213
46,0,254
42.6,0,220
40.4,1,254
55.4,1,316
29.6,0,206
61.1,0,280
55.9,0,272
53.2,0,298
78.8,0,336
50.2,0,258
38,0,197
39.7,0,249
41.9,0,255
43.7,1,278
47.2,1,304
54.4,1,311
35.7,0,221
51.4,0,270
54.7,0,258
73.2,0,308
45.3,0,234
54.4,0,256
44.5,0,248
41.6,0,236
47.8,0,233
54.1,0,260
54.4,0,285
71.9,1,366
62.8,0,302
50.7,1,306
47.8,0,235
37.6,0,195
34.7,0,224
56.5,1,318
56.7,1,333
57.1,0,259
42.7,1,272
27.9,0,187
55.6,0,259
74.4,1,383
35.4,0,205
47.8,0,241
70.6,0,311
48.1,1,274
46.2,0,258
53.5,0,255
59.1,1,295
53.7,1,328
25.7,0,173
49.9,1,288
37.2,0,197
48.8,1,306
53.3,0,242
49.6,0,250
67.6,0,310
44.6,0,202
59.2,0,264
62.5,1,313
44.6,0,220
41.1,0,208
54.1,1,314
51.4,0,253
49.8,1,302
65.4,0,286
45.4,0,240
42.8,1,314
60.4,0,264
55.3,1,313
55.7,1,328
37.9,0,207
58.7,0,270
47.7,0,259
44.8,0,217
41,1,288
59.9,0,286
46.8,1,299
48.9,0,238
46.8,1,302
54.3,0,279
47.3,0,250
46.6,0,279
60.3,1,312
41.1,0,191
52.2,1,315
47.4,0,235
47.2,0,251
54.7,0,254
38.2,1,262
39.2,0,213
55.2,1,341
50.4,0,253
53.9,1,294
47.1,0,243
67.7,0,289
43.1,0,223
58.5,0,279
58.6,0,279
42.9,0,232
35.3,0,211
59.9,0,267
50.3,1,311
56.5,1,329
38.1,0,232
46,1,267
39.3,0,212
56.3,0,307
51.6,0,236
49.3,0,247
50.6,0,245
58,0,268
62.1,0,278
50.2,0,255
50.3,1,292
45.7,0,254
50.9,0,262
50.7,0,273
39.2,0,191
60.1,0,316
49.7,0,278
44.5,0,250
63,0,252
57.9,0,317
43.9,0,225
59.6,0,327
39.4,1,258
61.8,1,345
43,1,286
35.1,1,234
60.7,1,360
51.1,0,265
44.2,0,240
59.7,0,266
44.1,0,235
49.2,0,236
58.8,0,261
42.2,0,222
35,1,279
43.9,0,232
37.2,1,280
50,0,269
50.6,0,256
55,0,270
54,0,263
52.8,1,289
54.5,0,253
55.6,0,254
33.5,0,226
42.9,1,292
56.2,0,271
60.8,1,321
52.7,0,286
38.4,0,201
43.6,0,229
51.9,0,240
48.1,0,226
60.4,0,240
52.1,0,253
47.6,0,256
65.8,1,342
55.3,1,284
46.2,0,232
55.7,0,276
42.8,0,239
50.5,0,250
42,0,230
52.8,0,257
49.6,1,314
48,0,267
52.4,0,232
38.4,1,279
44.3,0,201
53.9,0,263
59.2,0,266
43.2,0,242
52,0,288
34,0,209
52.1,1,294
64.3,1,354
52.4,0,276
44.2,1,288
40.8,0,229
34.6,0,197
38.9,0,223
39.8,1,269
59.6,0,309
64.7,0,276
47.4,0,283
54.3,0,297
44.2,0,252
48,0,248
50.5,1,281
59.2,1,293
36.8,1,279
41.8,1,285
39.5,0,216
55.5,1,329
48.3,1,298
36.9,0,196
49.5,0,277
49.5,0,226
45.6,0,247
50.1,0,270
39.8,0,225
43.5,0,220
43.5,1,276
69.5,0,305
47.1,1,322
44.9,0,233
45.5,0,228
59.5,0,277
49,0,246
36.8,0,230
52.8,0,283
50.2,0,240
47.2,0,259
36.4,0,224
55.6,0,283
36.1,0,209
52,1,333
38.2,0,204
35.1,0,208
56,0,276
59,0,285
66.2,0,255
58.7,0,258
63.2,1,306
58.6,0,279
43.6,0,255
57.6,0,266
59.4,0,274
46.6,0,258
44.7,1,242
41.6,1,301
48.2,0,248
64.8,1,330
55.2,0,275
44.7,1,302
45.1,0,206
45,0,252
44.1,0,211
32.1,0,196
50.7,1,287
66.2,0,293
38.5,0,191
57.3,0,271
50.8,1,316
41.4,0,195
57.7,0,300
60,1,336
47.7,0,269
62.5,0,285
37.6,0,207
67.9,0,370
51.6,0,253
49.3,0,238
48.7,1,294
49.2,0,266
37.6,0,240
46.1,0,238
67.8,0,294
52.1,0,250
49.9,0,257
55.3,0,277
58.9,0,292
45.2,1,282
57.3,0,273
65.3,1,361
54.4,1,278
33.7,1,269
53.8,1,308
50.7,0,251
37.3,1,251
51.1,0,235
58.8,1,289
46.1,0,249
52.6,0,230
68,0,275
42.1,0,228
41.4,0,203
62,1,337
40.5,0,205
64.7,0,325
44.9,0,262
54.9,1,315
38.9,0,230
68.5,1,334
57.4,0,257
46.8,0,242
38,1,234
